INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2024-04-19T06:00:00-00:00,2024-04-19T07:00:00-00:00,2024-04-18,24,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,32.98272,1
2024-04-19T00:00:00-00:00,2024-04-19T01:00:00-00:00,2024-04-18,18,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,47.07839,1
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,53.03554,1
2024-04-19T01:00:00-00:00,2024-04-19T02:00:00-00:00,2024-04-18,19,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,49.69118,1
2024-04-19T05:00:00-00:00,2024-04-19T06:00:00-00:00,2024-04-18,23,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,36.14823,1
2024-04-19T03:00:00-00:00,2024-04-19T04:00:00-00:00,2024-04-18,21,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,45.67461,1
2024-04-19T04:00:00-00:00,2024-04-19T05:00:00-00:00,2024-04-18,22,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,41.4327,1
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,22.98903,1
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,-4.90326,2
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,16.43677,2
