INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2024-03-12T06:00:00-00:00,2024-03-12T07:00:00-00:00,2024-03-11,24,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,39.02539,1
2024-03-12T06:00:00-00:00,2024-03-12T07:00:00-00:00,2024-03-11,24,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,MCC,LMP_CONG_PRC,BAYSHOR2_1_N001,ALL,1,0,2
2024-03-12T06:00:00-00:00,2024-03-12T07:00:00-00:00,2024-03-11,24,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,MCE,LMP_ENE_PRC,BAYSHOR2_1_N001,ALL,1,38.39948,3
2024-03-12T06:00:00-00:00,2024-03-12T07:00:00-00:00,2024-03-11,24,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,MCL,LMP_LOSS_PRC,BAYSHOR2_1_N001,ALL,1,0.62591,4
2024-03-12T06:00:00-00:00,2024-03-12T07:00:00-00:00,2024-03-11,24,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,MGHG,LMP_GHG_PRC,BAYSHOR2_1_N001,ALL,1,0,5
2024-03-12T21:00:00-00:00,2024-03-12T22:00:00-00:00,2024-03-12,15,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,14.4014,6
2024-03-12T23:00:00-00:00,2024-03-13T00:00:00-00:00,2024-03-12,17,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,14.79339,6
2024-03-13T06:00:00-00:00,2024-03-13T07:00:00-00:00,2024-03-12,24,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,31.80846,6
2024-03-12T08:00:00-00:00,2024-03-12T09:00:00-00:00,2024-03-12,2,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,29.97441,6
2024-03-12T20:00:00-00:00,2024-03-12T21:00:00-00:00,2024-03-12,14,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,15.51236,6
2024-03-13T02:00:00-00:00,2024-03-13T03:00:00-00:00,2024-03-12,20,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,50.35215,6
2024-03-13T03:00:00-00:00,2024-03-13T04:00:00-00:00,2024-03-12,21,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,50.08598,6
2024-03-12T10:00:00-00:00,2024-03-12T11:00:00-00:00,2024-03-12,4,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,29.6292,6
2024-03-13T00:00:00-00:00,2024-03-13T01:00:00-00:00,2024-03-12,18,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,32.5692,6
2024-03-13T04:00:00-00:00,2024-03-13T05:00:00-00:00,2024-03-12,22,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,46.32849,6
2024-03-13T05:00:00-00:00,2024-03-13T06:00:00-00:00,2024-03-12,23,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,37.67242,6
2024-03-13T01:00:00-00:00,2024-03-13T02:00:00-00:00,2024-03-12,19,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,44.85215,6
2024-03-12T09:00:00-00:00,2024-03-12T10:00:00-00:00,2024-03-12,3,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,29.62796,6
2024-03-12T12:00:00-00:00,2024-03-12T13:00:00-00:00,2024-03-12,6,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,34.17008,6
2024-03-12T15:00:00-00:00,2024-03-12T16:00:00-00:00,2024-03-12,9,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,38.6085,6
2024-03-12T16:00:00-00:00,2024-03-12T17:00:00-00:00,2024-03-12,10,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,33.48714,6
2024-03-12T11:00:00-00:00,2024-03-12T12:00:00-00:00,2024-03-12,5,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,30.78512,6
2024-03-12T13:00:00-00:00,2024-03-12T14:00:00-00:00,2024-03-12,7,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,48.38631,6
2024-03-12T07:00:00-00:00,2024-03-12T08:00:00-00:00,2024-03-12,1,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,29.49382,6
